id_asegurado,segmento,antiguedad,ciudad,numero_polizas,reclamos_ultimos_12_meses,mora_actual,score_cliente
ASE-0001,Natural,1,Loja,3,0,True,54
ASE-0002,Natural,12,Quito,1,0,False,42
ASE-0003,Natural,2,Guayaquil,2,0,True,75
ASE-0004,Natural,12,Loja,4,0,True,68
ASE-0005,Juridico,13,Ibarra,1,0,True,84
ASE-0006,Juridico,6,Cuenca,2,0,True,88
ASE-0007,Juridico,2,Quito,4,0,True,62
ASE-0008,Juridico,10,Cuenca,1,0,False,74
ASE-0009,Natural,15,Ambato,1,0,False,93
ASE-0010,Juridico,10,Guayaquil,1,0,True,82
ASE-0011,Natural,13,Cuenca,1,0,True,95
ASE-0012,Natural,7,Cuenca,4,0,False,50
ASE-0013,Juridico,6,Guayaquil,3,0,True,78
ASE-0014,Natural,9,Loja,2,0,True,69
ASE-0015,Juridico,5,Loja,2,0,False,93
ASE-0016,Natural,4,Ibarra,1,0,False,65
ASE-0017,Juridico,2,Guayaquil,3,0,True,81
ASE-0018,Juridico,7,Loja,4,0,True,56
ASE-0019,Natural,4,Loja,3,0,False,97
ASE-0020,Juridico,6,Guayaquil,2,0,False,45
ASE-0021,Natural,14,Quito,2,0,True,90
ASE-0022,Juridico,10,Quito,4,0,False,78
ASE-0023,Juridico,9,Cuenca,1,0,True,83
ASE-0024,Juridico,13,Loja,3,0,True,58
ASE-0025,Juridico,3,Ambato,1,0,False,72
ASE-0026,Natural,9,Quito,3,0,True,49
ASE-0027,Juridico,13,Guayaquil,1,0,False,71
ASE-0028,Natural,2,Cuenca,3,0,True,43
ASE-0029,Natural,15,Manta,1,0,True,86
ASE-0030,Juridico,14,Quito,2,0,True,82
ASE-0031,Juridico,9,Guayaquil,3,0,False,53
ASE-0032,Natural,12,Cuenca,4,0,False,68
ASE-0033,Juridico,2,Guayaquil,2,0,True,61
ASE-0034,Natural,10,Manta,2,0,True,40
ASE-0035,Natural,12,Loja,1,0,True,44
ASE-0036,Natural,14,Cuenca,1,0,True,57
ASE-0037,Juridico,4,Manta,2,0,False,55
ASE-0038,Juridico,13,Ambato,2,0,True,46
ASE-0039,Juridico,6,Ambato,4,0,False,95
ASE-0040,Natural,11,Loja,1,0,True,65
ASE-0041,Juridico,13,Ibarra,1,0,True,52
ASE-0042,Natural,9,Ambato,2,0,False,51
ASE-0043,Juridico,8,Guayaquil,1,0,False,91
ASE-0044,Natural,1,Loja,1,0,True,99
ASE-0045,Natural,3,Ambato,4,0,False,53
ASE-0046,Juridico,15,Quito,2,0,False,40
ASE-0047,Juridico,5,Ibarra,4,0,False,67
ASE-0048,Juridico,3,Guayaquil,3,0,True,43
ASE-0049,Natural,12,Cuenca,1,0,True,77
ASE-0050,Juridico,9,Ibarra,2,0,True,72
ASE-0051,Natural,14,Guayaquil,1,0,True,83
ASE-0052,Natural,7,Quito,2,0,True,79
ASE-0053,Natural,7,Loja,3,0,False,53
ASE-0054,Juridico,4,Cuenca,4,0,True,82
ASE-0055,Juridico,8,Cuenca,1,0,True,69
ASE-0056,Natural,2,Manta,2,0,False,48
ASE-0057,Juridico,15,Quito,2,0,False,58
ASE-0058,Natural,8,Ibarra,3,0,True,82
ASE-0059,Juridico,15,Loja,1,0,True,56
ASE-0060,Natural,15,Quito,2,0,False,58
ASE-0061,Natural,12,Cuenca,2,0,False,72
ASE-0062,Juridico,5,Ibarra,1,0,True,80
ASE-0063,Juridico,14,Cuenca,1,0,True,61
ASE-0064,Natural,11,Cuenca,2,0,False,75
ASE-0065,Juridico,9,Quito,1,0,True,100
ASE-0066,Natural,9,Quito,3,0,True,67
ASE-0067,Natural,1,Cuenca,3,0,True,97
ASE-0068,Juridico,4,Loja,2,0,True,62
ASE-0069,Juridico,10,Loja,2,0,True,95
ASE-0070,Natural,13,Ibarra,2,0,False,41
ASE-0071,Natural,12,Cuenca,4,0,True,57
ASE-0072,Natural,13,Loja,1,0,False,95
ASE-0073,Natural,14,Ambato,2,0,True,92
ASE-0074,Juridico,6,Cuenca,2,0,True,41
ASE-0075,Natural,7,Cuenca,3,0,True,89
ASE-0076,Juridico,6,Loja,4,0,False,100
ASE-0077,Natural,2,Cuenca,2,0,False,42
ASE-0078,Natural,10,Ambato,3,0,False,67
ASE-0079,Natural,7,Manta,2,0,False,42
ASE-0080,Juridico,1,Manta,2,0,False,67
ASE-0081,Natural,11,Cuenca,3,0,True,86
ASE-0082,Juridico,9,Cuenca,4,0,False,65
ASE-0083,Juridico,9,Guayaquil,2,0,False,82
ASE-0084,Juridico,11,Loja,2,0,False,65
ASE-0085,Natural,5,Cuenca,2,0,False,90
ASE-0086,Juridico,8,Ambato,4,0,True,72
ASE-0087,Juridico,13,Ibarra,2,0,True,58
ASE-0088,Juridico,2,Ibarra,2,0,False,54
ASE-0089,Natural,3,Quito,1,0,True,70
ASE-0090,Natural,8,Ambato,2,0,False,71
ASE-0091,Juridico,4,Guayaquil,1,0,True,89
ASE-0092,Juridico,4,Guayaquil,4,0,True,75
ASE-0093,Natural,15,Ibarra,1,0,False,48
ASE-0094,Juridico,11,Manta,3,0,False,79
ASE-0095,Juridico,14,Manta,4,0,True,87
ASE-0096,Juridico,8,Cuenca,2,0,False,89
ASE-0097,Juridico,11,Guayaquil,3,0,False,44
ASE-0098,Juridico,4,Cuenca,3,0,False,97
ASE-0099,Natural,3,Guayaquil,2,0,False,84
ASE-0100,Natural,12,Guayaquil,1,0,False,66
ASE-0101,Juridico,9,Ambato,4,0,True,53
ASE-0102,Juridico,7,Ibarra,1,0,False,70
ASE-0103,Natural,6,Cuenca,4,0,False,74
ASE-0104,Natural,8,Guayaquil,3,0,False,71
ASE-0105,Natural,7,Cuenca,4,0,True,93
ASE-0106,Juridico,15,Guayaquil,1,0,False,77
ASE-0107,Natural,2,Loja,4,0,True,95
ASE-0108,Juridico,3,Quito,3,0,False,60
ASE-0109,Natural,8,Cuenca,3,0,False,57
ASE-0110,Juridico,5,Ibarra,1,0,False,41
ASE-0111,Natural,6,Guayaquil,1,0,True,88
ASE-0112,Natural,4,Guayaquil,1,0,True,55
ASE-0113,Natural,8,Loja,1,0,True,69
ASE-0114,Juridico,13,Cuenca,2,0,True,89
ASE-0115,Natural,5,Quito,1,0,False,76
ASE-0116,Juridico,7,Loja,2,0,True,77
ASE-0117,Natural,2,Loja,3,0,True,90
ASE-0118,Natural,6,Manta,4,0,False,44
ASE-0119,Juridico,1,Ibarra,4,0,False,46
ASE-0120,Juridico,6,Loja,4,0,True,67
