id_documento,id_siniestro,tipo_documento,entregado,legible,fecha_emision,inconsistencia_detectada,observacion
DOC-000001,SIN-00001,Denuncia Policial,True,False,2025-11-21,False,
DOC-000002,SIN-00001,Factura Reparacion,True,True,2025-11-21,False,
DOC-000003,SIN-00001,Certificado Medico,True,True,2025-11-21,False,
DOC-000004,SIN-00001,Cedula Asegurado,True,True,2025-11-21,False,
DOC-000005,SIN-00002,Foto Evidencia,True,True,2024-06-30,False,
DOC-000006,SIN-00002,Factura Reparacion,True,True,2024-06-30,False,
DOC-000007,SIN-00002,Informe Perito,True,True,2024-06-30,False,
DOC-000008,SIN-00002,Certificado Medico,True,True,2024-06-30,False,
DOC-000009,SIN-00003,Factura Reparacion,True,True,2025-10-15,False,
DOC-000010,SIN-00003,Informe Perito,True,True,2025-10-15,False,
DOC-000011,SIN-00003,Cedula Asegurado,True,False,2025-10-15,False,
DOC-000012,SIN-00003,Denuncia Policial,True,True,2025-10-15,False,
DOC-000013,SIN-00004,Cedula Asegurado,True,False,2024-04-27,False,
DOC-000014,SIN-00004,Foto Evidencia,True,False,2024-04-27,False,
DOC-000015,SIN-00005,Foto Evidencia,True,True,2025-05-18,False,
DOC-000016,SIN-00005,Cedula Asegurado,True,True,2025-05-18,False,
DOC-000017,SIN-00005,Certificado Medico,True,True,2025-05-18,False,
DOC-000018,SIN-00006,Cedula Asegurado,True,True,2025-06-30,False,
DOC-000019,SIN-00006,Denuncia Policial,True,True,2025-06-30,False,
DOC-000020,SIN-00007,Certificado Medico,True,True,2023-12-05,False,
DOC-000021,SIN-00007,Denuncia Policial,True,True,2023-12-05,False,
DOC-000022,SIN-00007,Informe Perito,True,True,2023-12-05,False,
DOC-000023,SIN-00007,Factura Reparacion,True,True,2023-12-05,False,
DOC-000024,SIN-00007,Foto Evidencia,True,True,2023-12-05,False,
DOC-000025,SIN-00008,Factura Reparacion,True,True,2024-05-25,False,
DOC-000026,SIN-00008,Foto Evidencia,True,True,2024-05-25,False,
DOC-000027,SIN-00008,Denuncia Policial,True,True,2024-05-25,False,
DOC-000028,SIN-00008,Cedula Asegurado,True,True,2024-05-25,False,
DOC-000029,SIN-00009,Denuncia Policial,False,True,2024-09-29,False,
DOC-000030,SIN-00009,Cedula Asegurado,False,True,2024-09-29,False,
DOC-000031,SIN-00009,Informe Perito,False,True,2024-09-29,True,Sangre ver comunicación tenido mucha entre sectores.
DOC-000032,SIN-00010,Denuncia Policial,True,True,2024-10-18,False,
DOC-000033,SIN-00010,Factura Reparacion,True,True,2024-10-18,False,
DOC-000034,SIN-00010,Foto Evidencia,True,True,2024-10-18,False,
DOC-000035,SIN-00011,Cedula Asegurado,True,False,2025-01-22,False,
DOC-000036,SIN-00011,Factura Reparacion,True,True,2025-01-22,False,
DOC-000037,SIN-00011,Certificado Medico,True,False,2025-01-22,False,
DOC-000038,SIN-00012,Cedula Asegurado,True,True,2025-10-18,False,
DOC-000039,SIN-00012,Factura Reparacion,True,False,2025-10-18,False,
DOC-000040,SIN-00012,Informe Perito,True,True,2025-10-18,False,
DOC-000041,SIN-00012,Denuncia Policial,True,True,2025-10-18,False,
DOC-000042,SIN-00013,Certificado Medico,True,True,2024-03-11,False,
DOC-000043,SIN-00013,Cedula Asegurado,True,True,2024-03-11,False,
DOC-000044,SIN-00013,Foto Evidencia,True,True,2024-03-11,False,
DOC-000045,SIN-00013,Denuncia Policial,True,False,2024-03-11,False,
DOC-000046,SIN-00014,Foto Evidencia,True,True,2024-07-31,False,
DOC-000047,SIN-00014,Certificado Medico,True,True,2024-07-31,False,
DOC-000048,SIN-00014,Informe Perito,True,True,2024-07-31,False,
DOC-000049,SIN-00014,Denuncia Policial,True,True,2024-07-31,False,
DOC-000050,SIN-00015,Denuncia Policial,True,True,2026-06-01,False,
DOC-000051,SIN-00015,Informe Perito,True,True,2026-06-01,False,
DOC-000052,SIN-00015,Foto Evidencia,True,True,2026-06-01,False,
DOC-000053,SIN-00016,Denuncia Policial,True,True,2025-06-09,False,
DOC-000054,SIN-00016,Cedula Asegurado,True,True,2025-06-09,False,
DOC-000055,SIN-00016,Certificado Medico,True,True,2025-06-09,False,
DOC-000056,SIN-00016,Informe Perito,True,True,2025-06-09,False,
DOC-000057,SIN-00017,Factura Reparacion,True,False,2025-06-23,False,
DOC-000058,SIN-00017,Informe Perito,True,True,2025-06-23,False,
DOC-000059,SIN-00017,Cedula Asegurado,True,False,2025-06-23,False,
DOC-000060,SIN-00018,Denuncia Policial,True,True,2024-01-23,False,
DOC-000061,SIN-00018,Cedula Asegurado,True,True,2024-01-23,False,
DOC-000062,SIN-00018,Informe Perito,True,True,2024-01-23,False,
DOC-000063,SIN-00018,Factura Reparacion,True,False,2024-01-23,False,
DOC-000064,SIN-00018,Certificado Medico,True,True,2024-01-23,False,
DOC-000065,SIN-00019,Denuncia Policial,True,True,2023-10-24,False,
DOC-000066,SIN-00019,Cedula Asegurado,True,True,2023-10-24,False,
DOC-000067,SIN-00019,Foto Evidencia,True,True,2023-10-24,False,
DOC-000068,SIN-00020,Denuncia Policial,True,True,2025-12-08,False,
DOC-000069,SIN-00020,Certificado Medico,True,True,2025-12-08,False,
DOC-000070,SIN-00021,Factura Reparacion,True,True,2025-01-31,False,
DOC-000071,SIN-00021,Denuncia Policial,True,True,2025-01-31,False,
DOC-000072,SIN-00022,Cedula Asegurado,True,True,2025-11-25,False,
DOC-000073,SIN-00022,Foto Evidencia,True,True,2025-11-25,False,
DOC-000074,SIN-00022,Denuncia Policial,True,True,2025-11-25,False,
DOC-000075,SIN-00022,Certificado Medico,True,True,2025-11-25,False,
DOC-000076,SIN-00023,Cedula Asegurado,True,True,2026-08-17,False,
DOC-000077,SIN-00023,Foto Evidencia,True,True,2026-08-17,False,
DOC-000078,SIN-00024,Foto Evidencia,True,True,2025-02-26,False,
DOC-000079,SIN-00024,Certificado Medico,True,True,2025-02-26,False,
DOC-000080,SIN-00025,Informe Perito,False,True,2023-12-07,True,Persona vamos viene mi.
DOC-000081,SIN-00025,Denuncia Policial,False,True,2023-12-07,True,Lejos usted trabajadores siete.
DOC-000082,SIN-00026,Cedula Asegurado,True,True,2024-10-05,False,
DOC-000083,SIN-00026,Factura Reparacion,True,True,2024-10-05,False,
DOC-000084,SIN-00027,Informe Perito,True,True,2024-12-17,False,
DOC-000085,SIN-00027,Foto Evidencia,True,True,2024-12-17,False,
DOC-000086,SIN-00027,Cedula Asegurado,True,True,2024-12-17,False,
DOC-000087,SIN-00027,Certificado Medico,True,False,2024-12-17,False,
DOC-000088,SIN-00028,Informe Perito,True,True,2023-11-13,False,
DOC-000089,SIN-00028,Cedula Asegurado,True,True,2023-11-13,False,
DOC-000090,SIN-00028,Foto Evidencia,True,True,2023-11-13,False,
DOC-000091,SIN-00029,Factura Reparacion,True,True,2025-02-21,False,
DOC-000092,SIN-00029,Foto Evidencia,True,True,2025-02-21,False,
DOC-000093,SIN-00029,Informe Perito,True,True,2025-02-21,False,
DOC-000094,SIN-00030,Denuncia Policial,True,True,2024-07-12,False,
DOC-000095,SIN-00030,Factura Reparacion,True,True,2024-07-12,False,
