id_poliza,id_asegurado,ramo,fecha_inicio,fecha_fin,prima,suma_asegurada,deducible,canal_venta,ciudad,estado_poliza
POL-00001,ASE-0074,Generales,2026-01-12,2027-01-12,655.74,29855.31,360.32,Digital,Cuenca,Vigente
POL-00002,ASE-0055,Salud,2023-06-23,2024-06-22,1789.42,22763.4,548.76,Directo,Guayaquil,Vigente
POL-00003,ASE-0143,Vida,2024-05-10,2025-05-10,928.86,30602.04,514.01,Agente,Ibarra,Vencida
POL-00004,ASE-0110,Generales,2025-01-19,2026-01-19,746.19,44087.54,582.54,Agente,Manta,Cancelada
POL-00005,ASE-0008,Salud,2024-10-27,2025-10-27,1832.88,41844.82,529.37,Digital,Loja,Vencida
POL-00006,ASE-0090,Vehiculos,2024-06-01,2025-06-01,1807.5,17654.78,408.79,Broker,Ibarra,Vigente
POL-00007,ASE-0018,Salud,2024-01-28,2025-01-27,545.13,24759.91,466.6,Agente,Quito,Cancelada
POL-00008,ASE-0097,Hogar,2025-02-11,2026-02-11,870.74,39862.13,457.03,Directo,Cuenca,Vigente
POL-00009,ASE-0080,Vida,2024-03-31,2025-03-31,884.55,31280.88,392.28,Agente,Quito,Vigente
POL-00010,ASE-0194,Generales,2025-06-09,2026-06-09,1635.16,17236.52,646.07,Agente,Loja,Vigente
POL-00011,ASE-0114,Hogar,2024-10-17,2025-10-17,1592.03,20961.47,351.66,Directo,Manta,Vencida
POL-00012,ASE-0070,Salud,2023-12-31,2024-12-30,1654.26,36205.72,568.7,Agente,Cuenca,Vencida
POL-00013,ASE-0073,Generales,2025-09-12,2026-09-12,1590.63,17221.34,457.54,Directo,Manta,Cancelada
POL-00014,ASE-0012,Salud,2024-08-04,2025-08-04,646.85,40893.1,536.99,Directo,Manta,Vigente
POL-00015,ASE-0053,Vida,2026-04-12,2027-04-12,956.49,16906.75,443.29,Broker,Ibarra,Vigente
POL-00016,ASE-0075,Vida,2024-11-20,2025-11-20,948.26,36888.19,541.27,Agente,Quito,Vencida
POL-00017,ASE-0045,Salud,2023-11-28,2024-11-27,1757.59,29166.45,385.88,Directo,Manta,Cancelada
POL-00018,ASE-0129,Generales,2025-01-11,2026-01-11,1507.07,37823.55,518.38,Digital,Quito,Vencida
POL-00019,ASE-0112,Vehiculos,2026-01-31,2027-01-31,1590.19,29813.87,506.82,Directo,Quito,Vencida
POL-00020,ASE-0147,Hogar,2023-11-30,2024-11-29,1095.66,15762.57,382.37,Directo,Cuenca,Vigente
POL-00021,ASE-0006,Vida,2024-01-19,2025-01-18,525.26,34092.31,444.31,Broker,Ibarra,Cancelada
POL-00022,ASE-0177,Vida,2023-09-28,2024-09-27,1212.34,42226.99,424.79,Agente,Ambato,Vigente
POL-00023,ASE-0112,Generales,2024-12-15,2025-12-15,1070.95,37666.53,418.64,Directo,Manta,Vigente
POL-00024,ASE-0080,Vida,2024-02-07,2025-02-06,590.85,23692.54,398.37,Broker,Cuenca,Vigente
POL-00025,ASE-0131,Vehiculos,2025-11-22,2026-11-22,1818.76,39243.61,540.02,Broker,Ibarra,Vencida
POL-00026,ASE-0187,Salud,2024-05-08,2025-05-08,1734.9,39110.16,405.97,Broker,Quito,Vigente
POL-00027,ASE-0051,Salud,2024-11-19,2025-11-19,1765.28,31180.27,592.23,Broker,Ibarra,Cancelada
POL-00028,ASE-0046,Hogar,2025-11-24,2026-11-24,1770.37,24540.1,383.02,Directo,Ibarra,Cancelada
POL-00029,ASE-0175,Generales,2023-10-21,2024-10-20,808.23,27813.23,595.4,Digital,Ibarra,Cancelada
POL-00030,ASE-0039,Hogar,2024-07-19,2025-07-19,1719.45,15208.56,503.22,Agente,Ambato,Vencida
POL-00031,ASE-0071,Generales,2024-08-15,2025-08-15,1081.07,21663.23,385.96,Agente,Cuenca,Cancelada
