id_proveedor,tipo,ciudad,reclamos_asociados,monto_promedio_reclamado,porcentaje_casos_observados,antiguedad,en_lista_restrictiva
PROV-001,Perito,Ibarra,11,2698.9,0.103,16,True
PROV-002,Perito,Loja,22,4081.71,0.322,15,True
PROV-003,Taller,Guayaquil,49,3556.79,0.387,13,True
PROV-004,Perito,Quito,26,3236.78,0.006,18,False
PROV-005,Taller,Ambato,24,2174.44,0.269,9,False
PROV-006,Legal,Ibarra,41,2174.39,0.376,4,False
PROV-007,Clinica,Ambato,2,1939.4,0.248,18,False
PROV-008,Perito,Manta,15,3878.82,0.259,15,False
PROV-009,Perito,Loja,27,3242.68,0.047,2,False
PROV-010,Taller,Cuenca,32,3499.37,0.046,8,False
PROV-011,Clinica,Ambato,30,1849.4,0.148,18,False
PROV-012,Legal,Manta,48,4127.78,0.291,14,False
PROV-013,Taller,Ibarra,32,3797.86,0.246,9,False
PROV-014,Taller,Loja,24,2309.61,0.087,15,False
PROV-015,Clinica,Ibarra,24,2236.38,0.04,12,False
PROV-016,Perito,Quito,26,2240.17,0.11,4,False
PROV-017,Legal,Quito,43,2530.18,0.085,20,False
PROV-018,Taller,Quito,22,3059.42,0.097,5,False
PROV-019,Clinica,Quito,49,2836.67,0.222,19,False
PROV-020,Clinica,Ibarra,15,2498.95,0.131,5,False
PROV-021,Taller,Cuenca,10,3268.45,0.395,18,False
PROV-022,Perito,Ibarra,12,2134.79,0.044,1,False
PROV-023,Clinica,Quito,23,2501.15,0.316,8,False
PROV-024,Perito,Quito,12,2679.27,0.106,5,False
PROV-025,Legal,Manta,8,2894.57,0.298,16,False
PROV-026,Legal,Ibarra,24,3684.42,0.205,4,False
PROV-027,Legal,Manta,15,2279.22,0.378,2,False
PROV-028,Perito,Ambato,42,3034.16,0.386,2,False
PROV-029,Legal,Ibarra,26,3221.79,0.171,4,False
PROV-030,Legal,Loja,29,1911.48,0.029,3,False
PROV-031,Perito,Manta,10,3258.11,0.026,9,False
PROV-032,Perito,Ambato,39,2209.26,0.212,15,False
PROV-033,Legal,Quito,45,1956.12,0.046,18,False
PROV-034,Clinica,Ambato,29,4077.33,0.355,14,False
PROV-035,Perito,Ibarra,30,4117.52,0.159,4,False
PROV-036,Perito,Ambato,21,3740.15,0.266,12,False
PROV-037,Clinica,Loja,31,2531.07,0.027,3,False
PROV-038,Taller,Ambato,7,2034.41,0.298,12,False
PROV-039,Clinica,Manta,4,3442.16,0.235,18,False
PROV-040,Perito,Loja,8,2856.37,0.164,14,False
